City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Kavaratti,IN,81.97,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
196,Benghazi,LY,85.73,clear sky,32.1167,20.0667,Tibesti Hotel
203,Grand-Lahou,CI,79.83,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
206,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
213,Rosetta,EG,79.9,clear sky,31.4044,30.4164,Green Valley
218,Makakilo City,US,75.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
220,Shenjiamen,CN,75.72,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
222,Pekan,MY,78.31,broken clouds,3.4836,103.3996,Pekan Budget Hotel
223,Hobyo,SO,78.42,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
226,Vila Velha,BR,85.46,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
230,Santa Cruz,BO,85.35,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
231,Faanui,PF,78.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
239,Hirara,JP,83.71,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
250,Shingu,JP,78.91,broken clouds,33.7333,135.9833,Shingu UI Hotel
252,Upata,VE,85.6,overcast clouds,8.0086,-62.3989,Posada Villa Nela
254,Castro,BR,89.44,clear sky,-24.7911,-50.0119,CHACARA BAILLY
255,Sao Joao Da Barra,BR,83.55,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
264,Nanakuli,US,77.11,overcast clouds,21.3906,-158.1547,Camp Pālehua
265,Maragogi,BR,80.92,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
266,Tautira,PF,77.45,few clouds,-17.7333,-149.15,Pension Oaoa
267,Eregli,TR,75.36,clear sky,37.5133,34.0467,Surmeli Hotel
271,Turbat,PK,89.2,clear sky,26.0023,63.044,Mubashar Quarters
275,Qingyuan,CN,81.27,light rain,23.7,113.0333,Guojin Commercial Hotel
276,Brawley,US,89.17,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
278,Tecoanapa,MX,83.86,broken clouds,16.5167,-98.75,Hotel Manglares
281,Itarema,BR,88.45,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
283,Cabedelo,BR,81.99,clear sky,-6.9811,-34.8339,Hotel Pigalle
284,Monte Alegre,BR,85.05,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
290,Phan Thiet,VN,77.95,broken clouds,10.9333,108.1,Hotel Saigon-PT
291,Sibolga,ID,76.35,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
292,Nago,JP,79.81,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
295,Itacare,BR,80.08,broken clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
296,Manokwari,ID,77.13,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
300,Ayapel,CO,86.63,broken clouds,8.3137,-75.1398,Hotel Colsama
301,Garissa,KE,86.09,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
302,Contamana,PE,87.42,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
311,Sabang,ID,82.49,light rain,5.8933,95.3214,Hotel Citra
319,Da Nang,VN,79.02,overcast clouds,16.0678,108.2208,Sun River Hotel
325,The Colony,US,80.02,broken clouds,33.089,-96.8864,Fairfield Inn & Suites by Marriott Dallas Plano/The Colony
326,Machhlishahr,IN,82.51,broken clouds,25.6833,82.4167,Dulhan pelece
332,Buala,SB,79.07,light rain,-8.145,159.5921,Maringe Lagoon Lodge
334,Praia,CV,82.63,scattered clouds,14.9215,-23.5087,LT Aparthotel
335,Deming,US,75.24,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
337,Berbera,SO,89.55,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
343,Bathsheba,BB,86.09,scattered clouds,13.2167,-59.5167,Atlantis Hotel
345,Zvishavane,ZW,81.14,clear sky,-20.3267,30.0665,Hotel Boutique Runde
346,Hambantota,LK,80.82,few clouds,6.1241,81.1185,Bungalow 63
347,Methoni,GR,88.21,scattered clouds,36.8197,21.7049,Methoni Beach Hotel
348,Oranjestad,AW,83.61,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
350,Santa Cruz Cabralia,BR,83.97,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
361,Ratnagiri,IN,78.55,moderate rain,16.9833,73.3,Hotel Landmark
367,Tangier,MA,76.82,clear sky,35.7806,-5.8137,Hotel Rembrandt
369,Akyab,MM,80.69,overcast clouds,20.15,92.9,Hotel Memory
372,Honavar,IN,77.04,light rain,14.2833,74.45,Hotel Sagar Residency
376,Russell,US,86.97,broken clouds,32.3502,-85.1999,Macs
379,Ximei,CN,79.12,broken clouds,24.9639,118.3794,Nan'an Hotel
383,San Cristobal,VE,80.91,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
385,Rosarito,MX,87.93,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
386,Neyshabur,IR,75.85,clear sky,36.2133,58.7958,Amiran Hotel
389,Masakin,TN,84.2,overcast clouds,35.7292,10.5808,DAR EL ANDALOUS Guest house
391,Westport,US,76.08,broken clouds,41.1415,-73.3579,The Westport Inn
392,Manado,ID,76.57,heavy intensity rain,1.487,124.8455,Aryaduta Hotel
396,Meulaboh,ID,77.43,overcast clouds,4.1363,96.1285,Kost Pria
403,Cravo Norte,CO,80.08,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
404,Junqueiro,BR,85.24,broken clouds,-9.9253,-36.4758,POUSADA E RESTAURANTE QUEROMAIS
405,Cururupu,BR,88.61,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
408,Tuy Hoa,VN,76.93,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
409,Lufilufi,WS,80.33,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
411,Jijiang,CN,77.16,light rain,29.2906,106.2542,Chongqing Jiangjin Hotel
