City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
26,Butaritari,KI,2021-09-17 21:42:44,3.0707,172.7902,81.41,76,67,12.77
27,Magway,MM,2021-09-17 21:42:44,20.15,94.9167,76.24,93,100,9.57
28,Upernavik,GL,2021-09-17 21:42:44,72.7868,-56.1549,30.29,83,100,12.15
29,Wattegama,LK,2021-09-17 21:42:45,6.7989,81.4808,74.89,93,100,5.61
30,Savalou,BJ,2021-09-17 21:42:45,7.9281,1.9756,75.36,89,99,3.31
31,Marawi,PH,2021-09-17 21:42:45,7.9986,124.2928,65.64,89,95,3.87
32,Severo-Kurilsk,RU,2021-09-17 21:42:46,50.6789,156.125,51.96,67,20,7.23
33,Oriximina,BR,2021-09-17 21:42:46,-1.7656,-55.8661,80.08,74,61,5.46
34,Moron,AR,2021-09-17 21:37:53,-34.6534,-58.6198,66.92,60,1,7.36
35,Mataura,NZ,2021-09-17 21:42:47,-46.1927,168.8643,42.48,59,13,3.42
36,Poum,NC,2021-09-17 21:42:47,-20.2333,164.0167,70.05,59,4,16.71
37,Hobart,AU,2021-09-17 21:37:59,-42.8794,147.3294,53.26,85,68,5.99
38,Touros,BR,2021-09-17 21:42:48,-5.1989,-35.4608,77.81,80,83,16.37
39,Sur,OM,2021-09-17 21:42:48,22.5667,59.5289,83.91,70,7,11.07
40,Hilo,US,2021-09-17 21:40:38,19.7297,-155.09,83.28,86,78,3.0
41,Almendralejo,ES,2021-09-17 21:42:48,38.6832,-6.4075,70.27,68,56,5.01
42,Rosetta,EG,2021-09-17 21:42:49,31.4044,30.4164,76.95,64,0,11.01
43,Thompson,CA,2021-09-17 21:42:49,55.7435,-97.8558,50.36,50,100,6.93
44,Axim,GH,2021-09-17 21:42:49,4.8699,-2.2405,76.15,93,100,8.34
45,Hami,CN,2021-09-17 21:42:50,42.8,93.45,70.0,35,51,8.5
46,Chumikan,RU,2021-09-17 21:42:50,54.7183,135.315,45.5,69,8,24.54
47,Deputatskiy,RU,2021-09-17 21:42:50,69.3,139.9,31.93,99,100,5.26
48,Pathein,MM,2021-09-17 21:42:51,16.7833,94.7333,75.06,95,100,4.05
49,Dalby,AU,2021-09-17 21:42:51,-27.1833,151.2667,65.98,61,0,5.01
50,Tarakan,ID,2021-09-17 21:42:52,3.3,117.6333,77.95,84,68,4.81
51,Nemuro,JP,2021-09-17 21:42:52,43.3236,145.575,58.89,87,100,17.07
52,Hays,US,2021-09-17 21:42:52,30.0502,-98.0336,98.1,40,19,3.0
53,Vardo,NO,2021-09-17 21:42:53,70.3705,31.1107,44.8,74,99,13.85
54,Westlock,CA,2021-09-17 21:42:53,54.1502,-113.8688,65.21,24,100,13.38
55,Bima,ID,2021-09-17 21:42:53,-8.4667,118.7167,74.64,93,32,3.0
56,Albany,US,2021-09-17 21:37:54,42.6001,-73.9662,75.85,82,68,5.28
57,Tiksi,RU,2021-09-17 21:42:54,71.6872,128.8694,34.43,76,100,15.46
58,Aklavik,CA,2021-09-17 21:42:54,68.2191,-135.0107,44.04,78,96,11.81
59,Wanning,CN,2021-09-17 21:42:55,18.8003,110.3967,78.42,86,45,2.53
60,Saldanha,ZA,2021-09-17 21:42:55,-33.0117,17.9442,57.97,62,0,17.52
61,Ancud,CL,2021-09-17 21:42:56,-41.8697,-73.8203,51.42,83,99,10.76
62,Ostrovnoy,RU,2021-09-17 21:42:56,68.0531,39.5131,42.03,74,100,5.91
63,Abha,SA,2021-09-17 21:38:51,18.2164,42.5053,68.65,48,34,3.38
64,Yar-Sale,RU,2021-09-17 21:39:47,66.8333,70.8333,37.18,96,100,30.09
65,Novobureyskiy,RU,2021-09-17 21:42:57,49.798,129.8774,39.74,95,32,5.91
66,Petropavlovsk-Kamchatskiy,RU,2021-09-17 21:42:57,53.0452,158.6483,54.43,62,39,4.88
67,Puerto Ayora,EC,2021-09-17 21:42:57,-0.7393,-90.3518,70.56,89,97,5.99
68,Pasir Gudang,MY,2021-09-17 21:42:58,1.4584,103.8805,78.33,83,33,3.87
69,Provideniya,RU,2021-09-17 21:40:43,64.3833,-173.3,41.67,68,100,10.27
70,Bluff,NZ,2021-09-17 21:42:58,-46.6,168.3333,42.8,68,11,5.1
71,Castro,BR,2021-09-17 21:42:58,-24.7911,-50.0119,58.35,99,98,4.0
72,Lata,PT,2021-09-17 21:42:59,40.1629,-8.3327,67.05,91,77,4.34
73,Hermanus,ZA,2021-09-17 21:38:43,-34.4187,19.2345,54.81,75,0,20.31
74,Nikolskoye,RU,2021-09-17 21:42:59,59.7035,30.7861,45.01,64,77,3.4
75,Iqaluit,CA,2021-09-17 21:42:31,63.7506,-68.5145,35.06,79,100,14.52
76,Chulym,RU,2021-09-17 21:43:00,55.0997,80.9572,43.16,93,56,11.23
77,Boa Vista,BR,2021-09-17 21:43:00,2.8197,-60.6733,80.96,68,64,7.67
78,Necochea,AR,2021-09-17 21:43:00,-38.5473,-58.7368,66.04,76,1,10.42
79,Kintinku,TZ,2021-09-17 21:43:01,-5.8833,35.2333,76.89,50,22,3.96
80,Hobyo,SO,2021-09-17 21:40:57,5.3505,48.5268,77.74,83,82,25.1
81,Bairiki,KI,2021-09-17 21:43:01,1.3292,172.9752,81.54,72,36,13.47
82,Chokurdakh,RU,2021-09-17 21:43:02,70.6333,147.9167,31.68,80,100,12.91
83,Dunedin,NZ,2021-09-17 21:43:03,-45.8742,170.5036,47.8,61,44,11.01
84,Hambantota,LK,2021-09-17 21:43:03,6.1241,81.1185,79.3,85,91,12.03
85,Thurso,GB,2021-09-17 21:43:03,58.5927,-3.5259,54.86,98,100,3.94
86,Nanortalik,GL,2021-09-17 21:38:55,60.1432,-45.2371,37.94,83,21,19.75
87,Mangochi,MW,2021-09-17 21:43:04,-14.4782,35.2645,79.63,49,83,11.36
