City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Longyearbyen,SJ,78.2186,15.6401,43.0,95,100,3.49,overcast clouds
148,Cidreira,BR,-30.1811,-50.2056,62.22,74,100,18.9,overcast clouds
149,Sao Filipe,CV,14.8961,-24.4956,81.55,75,44,11.32,scattered clouds
150,Gat,IL,31.61,34.7642,85.41,100,0,11.36,clear sky
151,Isangel,VU,-19.55,169.2667,71.06,79,33,4.72,scattered clouds
152,Qaanaaq,GL,77.484,-69.3632,13.62,71,62,9.71,broken clouds
153,Berlevag,NO,70.8578,29.0864,43.63,67,2,27.69,clear sky
154,Bolu,TR,40.6667,31.5833,57.42,94,99,4.7,overcast clouds
155,Harper,LR,4.375,-7.7169,80.04,80,43,9.69,light rain
156,Ternovka,RU,51.678,41.6375,54.09,70,99,5.7,overcast clouds
157,Terrace,CA,54.5163,-128.6035,53.42,99,100,0.58,moderate rain
158,Bilibino,RU,68.0546,166.4372,14.85,88,44,4.12,scattered clouds
159,Malakal,SS,9.5334,31.6605,70.81,92,97,3.04,overcast clouds
160,Sechura,PE,-5.5569,-80.8222,73.83,61,26,9.6,scattered clouds
161,Mabaruma,GY,8.2,-59.7833,88.61,58,63,5.59,broken clouds
162,Chernyshevsk,RU,52.5243,117.0174,49.77,77,80,2.44,broken clouds
163,Bonavista,CA,48.6499,-53.1147,61.12,60,44,12.5,scattered clouds
164,Khatra,IN,22.9833,86.85,74.44,98,97,8.84,overcast clouds
165,Ribeira Grande,PT,38.5167,-28.7,71.51,79,14,18.43,few clouds
166,Chokurdakh,RU,70.6333,147.9167,29.95,62,100,8.05,overcast clouds
167,Auki,SB,-8.7676,160.7034,76.35,90,71,2.77,broken clouds
168,Lorengau,PG,-2.0226,147.2712,80.71,79,99,4.88,overcast clouds
169,Porbandar,IN,21.6422,69.6093,81.77,81,100,15.73,overcast clouds
170,Pedernales,DO,18.0384,-71.744,85.69,66,9,7.36,clear sky
171,Bandarbeyla,SO,9.4942,50.8122,77.52,81,99,28.68,overcast clouds
172,Monrovia,LR,6.3005,-10.7969,82.63,69,35,8.37,scattered clouds
173,Thinadhoo,MV,0.5333,72.9333,84.27,74,6,15.46,clear sky
174,Havoysund,NO,70.9963,24.6622,45.34,65,29,25.01,scattered clouds
175,Abu Dhabi,AE,24.4667,54.3667,90.73,61,7,12.33,clear sky
176,Nanortalik,GL,60.1432,-45.2371,37.71,71,96,20.33,overcast clouds
177,Onega,RU,63.9061,38.1404,39.78,81,20,6.67,few clouds
178,Flin Flon,CA,54.7682,-101.865,49.55,54,56,3.06,broken clouds
179,Clarksville,US,36.5298,-87.3595,79.72,88,28,5.77,scattered clouds
180,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,44.55,78,92,9.28,overcast clouds
181,Cozumel,MX,20.5083,-86.9458,89.01,88,69,4.0,broken clouds
182,Cerchezu,RO,43.8167,28.1,60.28,66,100,5.26,overcast clouds
183,Sungaipenuh,ID,-2.0833,101.3833,65.43,93,99,2.04,overcast clouds
184,Leningradskiy,RU,69.3833,178.4167,22.82,91,100,13.31,overcast clouds
185,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,78,13,8.66,few clouds
186,Amapa,BR,1.0,-52.0,95.72,37,64,4.34,broken clouds
187,Muzhi,RU,65.3667,64.6667,41.18,91,93,8.32,overcast clouds
188,Wilmington,US,34.2257,-77.9447,81.0,80,93,5.99,overcast clouds
189,Camacha,PT,33.0833,-16.3333,68.5,72,75,17.94,broken clouds
190,Cayenne,GF,4.9333,-52.3333,88.09,73,17,4.0,few clouds
191,Misratah,LY,32.3754,15.0925,91.17,45,0,11.56,clear sky
192,Vana-Vigala,EE,58.7806,24.2522,46.94,93,100,4.65,light rain
193,Hami,CN,42.8,93.45,72.57,25,22,5.86,few clouds
194,Kavaratti,IN,10.5669,72.642,81.97,79,12,15.28,few clouds
195,Necochea,AR,-38.5473,-58.7368,60.04,50,0,5.1,clear sky
196,Benghazi,LY,32.1167,20.0667,85.73,47,0,11.77,clear sky
197,Mehamn,NO,71.0357,27.8492,43.86,64,21,20.33,few clouds
198,La Ronge,CA,55.1001,-105.2842,50.4,66,69,7.27,broken clouds
199,Margate,GB,51.3813,1.3862,69.19,53,33,7.43,scattered clouds
200,Iqaluit,CA,63.7506,-68.5145,32.23,97,100,19.71,snow
201,Provideniya,RU,64.3833,-173.3,33.46,88,100,12.01,overcast clouds
202,Rio Gallegos,AR,-51.6226,-69.2181,60.33,52,84,4.7,broken clouds
203,Grand-Lahou,CI,5.1367,-5.0242,79.83,82,46,9.8,light rain
204,Mataquescuintla,GT,14.5292,-90.1842,73.44,66,78,3.8,broken clouds
205,Flinders,AU,-34.5833,150.8552,50.81,72,28,10.56,scattered clouds
206,Victoria,HK,22.2855,114.1577,85.32,85,51,7.25,light rain
207,Palmer,US,42.1584,-72.3287,71.28,60,58,1.99,broken clouds
208,Verkhnyaya Khava,RU,51.8404,39.9413,50.38,93,100,4.74,overcast clouds
209,Saint George,US,37.1041,-113.5841,69.8,24,0,1.99,clear sky
210,Souillac,MU,-20.5167,57.5167,70.36,69,10,12.59,clear sky
211,Bayan,CN,46.0833,127.4,55.89,97,97,13.24,overcast clouds
212,Hirosaki,JP,40.5931,140.4725,62.82,83,8,3.71,clear sky
213,Rosetta,EG,31.4044,30.4164,79.9,76,0,12.53,clear sky
214,Vostok,RU,46.4856,135.8833,49.15,98,100,3.65,overcast clouds
215,Bredasdorp,ZA,-34.5322,20.0403,61.29,66,34,9.4,scattered clouds
216,Walvis Bay,NA,-22.9575,14.5053,63.36,59,27,9.04,scattered clouds
217,Andapa,MG,-14.65,49.65,63.72,93,60,2.08,broken clouds
218,Makakilo City,US,21.3469,-158.0858,75.69,81,100,15.88,overcast clouds
219,Tuktoyaktuk,CA,69.4541,-133.0374,34.99,73,100,21.85,overcast clouds
220,Shenjiamen,CN,29.9576,122.298,75.72,84,0,8.39,light rain
221,Ostrovnoy,RU,68.0531,39.5131,39.51,78,16,7.78,few clouds
222,Pekan,MY,3.4836,103.3996,78.31,89,68,6.46,broken clouds
223,Hobyo,SO,5.3505,48.5268,78.42,75,99,24.7,overcast clouds
224,Nova Olinda Do Norte,BR,-3.8881,-59.0942,99.03,35,93,4.79,light rain
225,Krasnoselkup,RU,65.7,82.4667,29.95,89,96,12.03,overcast clouds
226,Vila Velha,BR,-20.3297,-40.2925,85.46,60,0,11.7,clear sky
227,Jalu,LY,29.0331,21.5482,98.74,12,0,8.61,clear sky
228,Chute-Aux-Outardes,CA,49.1168,-68.399,61.23,70,85,11.86,overcast clouds
229,Talnakh,RU,69.4865,88.3972,30.54,87,17,1.7,few clouds
230,Santa Cruz,BO,-17.8,-63.1667,85.35,36,48,15.66,scattered clouds
231,Faanui,PF,-16.4833,-151.75,78.08,73,6,8.99,clear sky
232,Saint-Gaudens,FR,43.0833,0.6667,59.02,58,77,2.15,light rain
233,Manjacaze,MZ,-24.7117,33.8828,67.33,74,90,15.3,overcast clouds
234,Maroantsetra,MG,-15.4333,49.7333,70.97,80,44,9.22,scattered clouds
235,Ahipara,NZ,-35.1667,173.1667,58.14,90,100,11.86,light rain
